Players,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,USG%,PACE,PIE
Alec Burks,23,13.5,102.8,115.2,-12.4,11.4,1.25,9.4,2.4,10.2,6.2,7.5,38.3,42.0,26.7,93.77,5.6
Bojan BogdanoviÄ‡,29,19.2,106.2,114.8,-8.6,8.1,0.68,7.7,1.5,9.1,5.2,11.2,52.1,54.9,24.3,95.56,7.3
Charlie Brown Jr.,8,4.7,104.1,105.1,-1.0,0.0,0.00,0.0,2.5,2.7,2.6,16.7,30.0,30.0,14.5,97.20,-4.7
DaQuan Jeffries,17,2.7,87.6,95.0,-7.4,18.5,1.67,19.2,0.0,9.6,4.6,11.5,41.2,39.1,19.3,102.84,3.8
Dmytro Skapintsev,2,1.1,75.0,60.0,15.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,101.25,-16.7
Donte DiVincenzo,81,29.1,117.9,114.2,3.7,13.3,1.91,15.7,2.6,10.2,6.3,8.2,58.4,59.7,20.9,97.11,9.8
Dylan Windler,3,2.5,81.3,29.4,51.8,25.0,0.00,33.3,0.0,7.1,4.3,0.0,75.0,75.0,11.8,106.55,20.7
Evan Fournier,3,12.9,96.3,111.3,-15.0,11.5,3.00,12.0,0.0,13.8,5.3,4.0,25.0,28.7,23.2,100.02,1.4
Immanuel Quickley,30,24,117.4,109.2,8.2,15.6,2.39,15.4,0.7,9.8,5.3,6.5,54.9,59.8,23.6,98.91,12.0
Isaiah Hartenstein,75,25.3,120.3,110.3,10.0,12.7,02.02,26.6,12.9,20.1,16.5,13.2,64.5,67.0,11.6,97.89,11.3
Jacob Toppin,9,4.2,98.7,118.4,-19.8,14.3,3.00,21.4,7.7,14.8,10.6,7.1,61.1,65.8,13.3,94.99,9.0
Jalen Brunson,77,35.4,121.2,112.6,8.6,31.5,2.79,20.5,1.5,8.8,5.1,7.4,54.3,59.2,31.1,96.68,15.6
Jericho Sims,45,13,109.0,109.7,-0.7,5.9,1.56,23.8,9.2,15.3,12.2,15.2,69.1,70.2,6.0,93.66,7.4
Josh Hart,81,33.4,117.2,110.6,6.6,16.4,2.81,28.1,4.6,20.5,12.3,10.0,49.3,52.2,13.3,95.77,10.0
Julius Randle,46,35.4,119.7,113.8,6.0,21.7,1.44,16.9,5.9,19.8,12.8,11.7,51.8,56.9,28.7,98.84,13.4
Malachi Flynn,14,4.3,92.2,99.2,-6.9,16.2,2.00,16.2,0.0,9.2,5.0,8.1,47.8,55.7,21.5,100.33,9.9
Mamadi Diakite,3,2.8,72.2,78.9,-6.7,0.0,0.00,0.0,0.0,10.0,5.6,50.0,0.0,0.0,9.5,104.66,-4.5
Miles McBride,68,19.5,110.6,110.6,0.0,13.1,3.80,18.4,2.2,5.3,3.7,4.9,57.2,59.0,16.4,95.40,8.0
Mitchell Robinson,31,24.8,117.3,116.2,1.1,3.1,0.72,9.0,17.0,17.3,17.1,12.4,57.5,55.4,9.9,96.67,8.2
OG Anunoby,23,34.9,122.6,100.9,21.7,5.8,0.92,10.1,3.0,9.2,6.3,11.0,56.8,59.1,16.8,96.65,8.1
Precious Achiuwa,49,24.2,112.3,111.1,1.2,6.6,0.98,12.1,11.3,17.8,14.5,12.4,54.7,56.4,14.0,94.66,9.3
Quentin Grimes,45,20.2,109.6,108.6,1.0,8.3,2.48,13.9,1.4,7.9,4.6,5.6,53.0,54.3,14.9,97.76,6.3
RJ Barrett,26,29.5,114.7,115.1,-0.4,12.3,1.34,11.4,2.4,11.8,7.0,8.5,47.8,53.6,26.6,100.66,9.6
Ryan Arcidiacono,20,2.3,82.1,80.0,2.1,13.3,2.00,33.3,0.0,13.8,7.5,16.7,0.0,0.0,7.4,100.99,0.8
Shake Milton,6,4.6,112.3,96.5,15.8,19.0,0.00,28.6,0.0,23.1,11.5,0.0,50.0,55.7,15.4,100.09,8.5
Taj Gibson,16,10.3,104.1,109.1,-5.1,7.0,1.80,23.7,5.9,10.9,8.4,13.2,30.4,33.5,7.7,101.00,0.6